%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1461183514282537343,74,1461183514214578847,pose_estimate,0.609939837116,-0.137597983057,0.0108871202695,0.0156563696181,0.00308415820201,-0.702644378924,0.711362244447,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183514656330197,75,1461183514591883494,pose_estimate,0.483861511007,-0.0493016002579,0.0138900703461,0.0579157474409,-0.0292538958533,-0.711988037002,0.699187393294,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183515180304929,76,1461183514986155814,pose_estimate,0.431516897155,0.034601282812,0.0236285700267,0.0756668479171,-0.0374453837922,-0.713733864917,0.695310248328,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183515607756702,77,1461183515374371542,pose_estimate,0.447887928042,0.0761638799237,0.0237728781543,0.0806366620909,-0.0436752990173,-0.706428464374,0.70181836803,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183515965106823,78,1461183515757168089,pose_estimate,0.51270241992,0.118435455455,0.0365048279663,0.0882995322811,-0.0541073676953,-0.713789456455,0.692661675866,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183516366192534,79,1461183516128582898,pose_estimate,0.609803530642,0.119011584924,0.05433442028,0.0707308267086,-0.0486597906192,-0.724857691083,0.683528128615,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183516554586393,80,1461183516487698511,pose_estimate,0.711363540915,0.0872517669025,0.129056960984,0.0411982697279,-0.0489035254297,-0.735636963436,0.674351099798,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183516907212799,81,1461183516843872324,pose_estimate,0.774567534544,0.0569013292354,0.221786093976,0.0497393647947,-0.0102497464209,-0.734746941187,0.676437632531,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183517263820926,82,1461183517190544156,pose_estimate,0.839488410107,0.0394691485967,0.29026516715,0.0583315249531,0.0150290783451,-0.72326413943,0.687939346611,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183517602687971,83,1461183517530824057,pose_estimate,0.936015921351,0.0354451377283,0.329053403646,0.0575542143985,0.0255726598551,-0.727832942349,0.682856324203,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183517932793287,84,1461183517868902535,pose_estimate,1.06421972884,0.0505993826247,0.34978962141,0.0473826909316,0.0282018696855,-0.723680731698,0.687928581842,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183518269760509,85,1461183518206613308,pose_estimate,1.2076225335,0.0618998377349,0.383563415785,0.0234069889348,0.0213675562382,-0.721067728694,0.692139343663,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183518607135394,86,1461183518538703068,pose_estimate,1.35666077489,0.0504421844618,0.407433617441,0.0206576144848,0.0243212699697,-0.717751973832,0.695567281326,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183518938161637,87,1461183518870155118,pose_estimate,1.51517846554,0.0236043893478,0.421565333121,0.014075366599,0.0445859264342,-0.7170238359,0.695478826399,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
1461183519270824610,88,1461183519203190052,pose_estimate,1.65767111488,-0.00175721218686,0.409785915942,0.0225207145138,0.0347120897384,-0.716243589338,0.69662257283,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
