%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1461206711454792944,7870,1461206711454547102,world,0.0320433117449,-0.00462106987834,0.391214579344,-0.0299490615726,0.00859687943012,0.117660075426,0.992564976215
1461206711464871600,7871,1461206711464642730,world,0.0320353507996,-0.00465815933421,0.391189873219,-0.0302332602441,0.00865237042308,0.117633678019,0.992559015751
1461206711474785779,7872,1461206711474555373,world,0.0320748277009,-0.00462239747867,0.391219377518,-0.0298198759556,0.00865812879056,0.117409177125,0.992598056793
1461206711484780207,7873,1461206711484563908,world,0.0320585407317,-0.00464740628377,0.391215622425,-0.0300577115268,0.0084911538288,0.117575228214,0.992572665215
1461206711495032139,7874,1461206711494752983,world,0.032055106014,-0.00468204822391,0.391207873821,-0.0302444305271,0.00864469446242,0.117517977953,0.992572426796
1461206711505003868,7875,1461206711504718147,world,0.0321739837527,-0.00454037450254,0.391197800636,-0.0295949410647,0.00832319166511,0.115958571434,0.99277818203
1461206711514769216,7876,1461206711514510174,world,0.0321387313306,-0.00453260680661,0.391395658255,-0.0328406244516,0.00919328164309,0.117147453129,0.992528915405
1461206711524829783,7877,1461206711524567738,world,0.0321478135884,-0.00457879854366,0.39142498374,-0.0332248993218,0.00927121564746,0.11722445488,0.992506206036
1461206711535018509,7878,1461206711534745639,world,0.0321483723819,-0.00451213493943,0.391218274832,-0.0295554362237,0.0083228321746,0.115939408541,0.992781579494
1461206711545252561,7879,1461206711544984301,world,0.032060418278,-0.00463442178443,0.391204029322,-0.0301893316209,0.00869845412672,0.117360465229,0.992592275143
1461206711554966716,7880,1461206711554704252,world,0.0320697277784,-0.00467025488615,0.39120772481,-0.0304959453642,0.00849703140557,0.117356821895,0.992585122585
1461206711565067791,7881,1461206711564821391,world,0.032180827111,-0.0044702203013,0.39121067524,-0.029418900609,0.00825236272067,0.11582506448,0.992799580097
1461206711575209793,7882,1461206711574888104,world,0.0321330428123,-0.00453855236992,0.391413003206,-0.0327995344996,0.00933447107673,0.117083400488,0.992536485195
1461206711585289636,7883,1461206711584981915,world,0.0320696681738,-0.00464569823816,0.391209691763,-0.0300490688533,0.00860045384616,0.117376737297,0.992595493793
1461206711595061759,7884,1461206711594785327,world,0.0320829711854,-0.00460839318112,0.39118412137,-0.0301257390529,0.00858606398106,0.117107205093,0.992625117302
1461206711605571615,7885,1461206711605297697,world,0.0320326015353,-0.0046371454373,0.391206562519,-0.0299430545419,0.00853598210961,0.117282681167,0.99261033535
1461206711615267401,7886,1461206711614984474,world,0.0320561788976,-0.0046554133296,0.391210824251,-0.0300975684077,0.00857539847493,0.117334768176,0.992599189281
1461206711625377276,7887,1461206711625091695,world,0.0321391001344,-0.00453772721812,0.391415625811,-0.0328561589122,0.0093402704224,0.117097496986,0.992532849312
1461206711635059303,7888,1461206711634755144,world,0.0321459919214,-0.00454981252551,0.391426771879,-0.0327058061957,0.00910378899425,0.11718942225,0.992529213428
1461206711645026702,7889,1461206711644711648,world,0.0320412293077,-0.00463073095307,0.391209125519,-0.0302053466439,0.00856098160148,0.117339715362,0.992595434189
1461206711654841707,7890,1461206711654552983,world,0.032170701772,-0.00452650059015,0.391185551882,-0.0298872124404,0.00840890686959,0.115906462073,0.992774784565
1461206711665459887,7891,1461206711665200287,world,0.0320849269629,-0.00469261221588,0.391207426786,-0.0302079152316,0.00859487149864,0.117447815835,0.992582321167
1461206711675183400,7892,1461206711674898308,world,0.0320637822151,-0.00461567100137,0.391189694405,-0.0301640052348,0.00850791670382,0.117252796888,0.992607414722
1461206711685127332,7893,1461206711684816189,world,0.032165993005,-0.00453079072759,0.391214370728,-0.0298168230802,0.00850444845855,0.116193093359,0.992742538452
1461206711695219118,7894,1461206711694934096,world,0.0320653952658,-0.00464988453314,0.391225039959,-0.0299486238509,0.00847995374352,0.1175513044,0.992578923702
1461206711705080079,7895,1461206711704767399,world,0.0320640057325,-0.00460998341441,0.391210108995,-0.0298319272697,0.0085496334359,0.117496550083,0.992588281631
1461206711715042589,7896,1461206711714798633,world,0.032053783536,-0.00465722521767,0.391200512648,-0.0300068967044,0.00858556479216,0.117407381535,0.992593288422
1461206711725022000,7897,1461206711724746616,world,0.0320475436747,-0.00465016998351,0.391222983599,-0.0300648659468,0.0086731472984,0.117563039064,0.992572307587
1461206711734955875,7898,1461206711734670992,world,0.032116651535,-0.00451264390722,0.391395241022,-0.0328132249415,0.00916790682822,0.117192156613,0.99252474308
1461206711744846658,7899,1461206711744595299,world,0.0320710465312,-0.00465726479888,0.39117628336,-0.0303259957582,0.00854809302837,0.117355942726,0.992589950562
1461206711754966101,7900,1461206711754678844,world,0.032059263438,-0.00464838230982,0.391237407923,-0.0301439743489,0.00867052841932,0.117437407374,0.992584824562
1461206711764915900,7901,1461206711764645544,world,0.0320590995252,-0.00462260749191,0.391223102808,-0.0299793295562,0.00861168839037,0.117372244596,0.992597997189
1461206711774893565,7902,1461206711774646327,world,0.032136682421,-0.00455767707899,0.391411453485,-0.0329490341246,0.00932360719889,0.117183357477,0.992519855499
1461206711784929409,7903,1461206711784626018,world,0.0321377553046,-0.00454990938306,0.391217201948,-0.0298362448812,0.00823477935046,0.116097912192,0.992755413055
1461206711794984179,7904,1461206711794733449,world,0.0321451090276,-0.00451953755692,0.391396403313,-0.032662704587,0.00932187493891,0.117061130702,0.992543756962
