x,vx,z,vz,thrust,theta,rel_x,rel_z,rel_vx,rel_vz
0.0,8.06451612903,5.0,0.0,0.5,0.2,0.0,-5.0,-0.0645161290323,0.0
1.29271483717,8.08617496406,4.99872426098,-0.186060133381,0.407893890343,0.182759494293,-0.0127148371709,-4.99872426098,-0.0861749640622,0.186060133381
1.9396088343,8.07540764195,4.98383945031,-0.344298833725,0.415690559933,0.177281126799,-0.0196088342975,-4.98383945031,-0.0754076419461,0.344298833725
2.58564144565,8.0634949913,4.95629554361,-0.489618195751,0.423920138178,0.173366620751,-0.0256414456477,-4.95629554361,-0.0634949912996,0.489618195751
3.23072104494,8.05148066117,4.91712608796,-0.621513439741,0.432414731217,0.170709133104,-0.0307210449417,-4.91712608796,-0.0514806611728,0.621513439741
3.87483949785,8.04019159007,4.86740501277,-0.739706282673,0.441045538008,0.16905453231,-0.034839497848,-4.86740501277,-0.040191590073,0.739706282673
4.51805482503,8.0302782897,4.80822851016,-0.84409311547,0.449703777453,0.168187605176,-0.038054825031,-4.80822851016,-0.0302782897002,0.84409311547
5.16047708818,8.02223947679,4.74070106092,-0.934719564419,0.458331455803,0.16792252736,-0.0404770881762,-4.74070106092,-0.0222394767883,0.934719564419
5.80225624628,8.01644841383,4.66592349577,-1.01170396624,0.466854030352,0.168166377659,-0.0422562462804,-4.66592349577,-0.0164484138279,1.01170396624
6.44357211934,8.01320864932,4.58498717847,-1.07527455615,0.475261128809,0.16873032414,-0.0435721193392,-4.58498717847,-0.0132086493163,1.07527455615
7.08462881123,8.01269490105,4.49896521398,-1.12565544014,0.483539296907,0.169566202396,-0.0446288112294,-4.49896521398,-0.0126949010476,1.12565544014
7.72564440325,8.01505108052,4.40891277877,-1.16308827045,0.491689411456,0.170529215775,-0.0456444032506,-4.40891277877,-0.0150510805197,1.16308827045
8.36684848987,8.02031683014,4.31586571714,-1.18779619129,0.4997088777,0.171564316971,-0.0468484898689,-4.31586571714,-0.0203168301352,1.18779619129
9.00847383647,8.02849134877,4.22084202183,-1.2,0.507541624533,0.172604001942,-0.0484738364682,-4.22084202183,-0.0284913487691,1.2
9.65075314456,8.03950649395,4.12484202183,-1.2,0.512838044731,0.173445015363,-0.0507531445635,-4.12484202183,-0.0395064939482,1.2
10.2939136643,8.05248062695,4.02884202183,-1.191770425,0.506418132915,0.174062716989,-0.0539136642705,-4.02884202183,-0.0524806269488,1.191770425
10.9381121146,8.06396723627,3.93350038783,-1.19374499395,0.506363761223,0.174538691031,-0.0581121146052,-3.93350038783,-0.0639672362701,1.19374499395
11.5832294937,8.07563480975,3.83800078831,-1.19587200844,0.506744048759,0.174884399197,-0.063229493661,-3.83800078831,-0.0756348097505,1.19587200844
12.2292802786,8.08749737946,3.74233102765,-1.19744835315,0.508193174155,0.175132725109,-0.0692802785649,-3.74233102765,-0.087497379464,1.19744835315
12.876280069,8.0997724305,3.6465351594,-1.1967765089,0.507438466701,0.175277098118,-0.0762800690078,-3.6465351594,-0.0997724305028,1.1967765089
13.5242618634,8.11175627986,3.5507930387,-1.1973141317,0.507049842059,0.175378870479,-0.0842618633698,-3.5507930387,-0.111756279856,1.1973141317
14.1732023658,8.12352135936,3.45500790818,-1.19847845692,0.507287777309,0.175500715361,-0.0932023657603,-3.45500790818,-0.123521359361,1.19847845692
14.8230840745,8.13526200137,3.35912963163,-1.19928528228,0.507359757588,0.17564945608,-0.103084074471,-3.35912963163,-0.135262001365,1.19928528228
15.4739050345,8.14695384987,3.26318680905,-1.2,0.508144934352,0.17582505565,-0.113905034506,-3.26318680905,-0.146953849869,1.2
16.1256613427,8.15881864643,3.16718680905,-1.19950288732,0.508698468231,0.175939739752,-0.125661342674,-3.16718680905,-0.158818646434,1.19950288732
16.778366834,8.17074037973,3.07122657806,-1.19815019052,0.508320325375,0.176013265841,-0.138366833953,-3.07122657806,-0.170740379733,1.19815019052
17.4320260639,8.18242430162,2.97537456283,-1.19740365812,0.50676783084,0.176067682162,-0.152026063882,-2.97537456283,-0.182424301622,1.19740365812
18.0866200076,8.19352980193,2.87958227018,-1.19911041776,0.5073953567,0.176127766892,-0.166620007581,-2.87958227018,-0.193529801934,1.19911041776
18.7421023919,8.20468151904,2.78365343676,-1.19983712875,0.507762562392,0.176230272565,-0.182102391914,-2.78365343676,-0.204681519039,1.19983712875
19.3984769136,8.21583977429,2.68766646646,-1.2,0.508708181704,0.176298102413,-0.198476913578,-2.68766646646,-0.21583977429,1.2
20.0557440956,8.22713909643,2.59166646646,-1.19868305699,0.509011983744,0.176318566527,-0.215744095626,-2.59166646646,-0.227139096433,1.19868305699
20.7139152232,8.23835924495,2.4957718219,-1.19689051951,0.509257455788,0.176310299644,-0.233915223172,-2.4957718219,-0.238359244945,1.19689051951
21.3729839628,8.2494621043,2.40002058034,-1.19471015639,0.508659818085,0.176275130871,-0.252983962829,-2.40002058034,-0.249462104296,1.19471015639
22.0329409311,8.26019141878,2.30444376782,-1.19346617705,0.510029045269,0.176251058909,-0.272940931061,-2.30444376782,-0.260191418777,1.19346617705
22.6937562446,8.27111392088,2.20896647366,-1.19006193802,0.507408706502,0.176200596143,-0.293756244613,-2.20896647366,-0.271113920882,1.19006193802
23.3554453583,8.28108618834,2.11376151862,-1.19077809644,0.507319844724,0.176116187335,-0.315445358335,-2.11376151862,-0.281086188335,1.19077809644
24.0179322535,8.29080651762,2.01849927091,-1.19162223146,0.507762002364,0.176014719806,-0.337932253464,-2.01849927091,-0.290806517618,1.19162223146
24.6811967749,8.3004141165,1.92316949239,-1.19175542172,0.506485034707,0.17590690543,-0.36119677494,-1.92316949239,-0.300414116503,1.19175542172
25.3452299041,8.30942420143,1.82782905865,-1.19388489453,0.506422142044,0.17578596762,-0.38522990411,-1.82782905865,-0.309424201428,1.19388489453
26.0099838403,8.31817602772,1.73231826709,-1.19609628618,0.506717079494,0.17563821643,-0.409983840301,-1.73231826709,-0.318176027723,1.19609628618
26.6754379226,8.32675241522,1.63663056419,-1.19782211439,0.506427206932,0.175410857901,-0.435437922607,-1.63663056419,-0.326752415219,1.19782211439
27.3415781159,8.33492915638,1.54080479504,-1.19997244794,0.507749778575,0.175134610459,-0.461578115923,-1.54080479504,-0.334929156381,1.19997244794
28.0083724485,8.34312338672,1.44480699921,-1.2,0.509081627446,0.174802798288,-0.488372448531,-1.44480699921,-0.343123386721,1.2
28.6758223193,8.35129164605,1.34880699921,-1.19788213765,0.510471597957,0.174286487218,-0.515822319252,-1.34880699921,-0.351291646052,1.19788213765
29.343925651,8.35930070083,1.2529764282,-1.19350097962,0.511955961429,0.173525548047,-0.543925651046,-1.2529764282,-0.359300700831,1.19350097962
30.0126697072,8.366979541,1.15749634983,-1.18667296946,0.512857824374,0.172475663806,-0.57266970723,-1.15749634983,-0.366979541002,1.18667296946
30.6820280706,8.37393601085,1.06256251227,-1.17827535614,0.514468245336,0.171054361536,-0.602028070635,-1.06256251227,-0.373936010848,1.17827535614
31.3519429516,8.38007065896,0.96830048378,-1.1671393346,0.515321196461,0.169148807837,-0.631942951633,-0.96830048378,-0.380070658959,1.1671393346
32.0223486045,8.38479097385,0.874929337011,-1.15439253842,0.516309271338,0.166663441834,-0.662348604478,-0.874929337011,-0.384790973847,1.15439253842
32.6931318825,8.38767762467,0.782577933937,-1.13974426106,0.517518072745,0.163506626546,-0.69313188251,-0.782577933937,-0.387677624671,1.13974426106
33.3641460926,8.38826054448,0.691398393054,-1.12275913412,0.517280820093,0.159446112189,-0.724146092598,-0.691398393054,-0.388260544477,1.12275913412
34.0352069363,8.38545538601,0.601577662326,-1.10560822737,0.517749793133,0.154343078216,-0.755206936259,-0.601577662326,-0.385455386014,1.10560822737
34.7060433672,8.37863882428,0.513129004136,-1.08705595566,0.505397697252,0.147965750233,-0.78604336723,-0.513129004136,-0.378638824278,1.08705595566
35.3763344733,8.36379496058,0.426164527684,-1.06363411678,0.498629119954,0.140172008228,-0.81633447325,-0.426164527684,-0.363794960577,1.06363411678
36.0454380702,8.34143855044,0.341073798341,-1.02343289005,0.501954476503,0.130764729777,-0.845438070162,-0.341073798341,-0.34143855044,1.02343289005
36.7127531542,8.3126972069,0.259199167137,-0.950465397574,0.508971854878,0.119206418488,-0.872753154249,-0.259199167137,-0.312697206904,0.950465397574
37.3777689308,8.27654065249,0.18316193533,-0.839414596301,0.518403520921,0.10485904761,-0.897768930839,-0.18316193533,-0.276540652492,0.839414596301
38.0398921831,8.23093158995,0.116008767626,-0.687824653997,0.529393372273,0.0869153439389,-0.919892183066,-0.116008767626,-0.23093158995,0.687824653997
38.6983667102,8.17276388693,0.0609827953063,-0.495809869175,0.541067920358,0.0643299151116,-0.938366710166,-0.0609827953063,-0.172763886934,0.495809869175
39.3521878211,8.09765223582,0.0213180057723,-0.266475072153,0.555813697717,0.0358900038629,-0.952187821132,-0.0213180057723,-0.0976522358178,0.266475072153
40.0,8.0,0.0,0.0,0.0,0.0,-0.96,0.0,0.0,0.0
