time, x, y, z
6.007, 0.0036767332349, 0.366894733429, -4.93359158339
6.027, 0.00361483357847, 0.366283517837, -4.93273089231
6.047, 0.00355008500628, 0.351041830063, -4.93194172682
6.067, 0.00349885295145, 0.356223087311, -4.93129465895
6.088, 0.00343503826298, 0.35640857315, -4.93046210112
6.108, 0.003380774986, 0.348196853638, -4.92971203643
6.128, 0.00334118353203, 0.341789962768, -4.92914555372
6.149, 0.00331084011123, 0.34323200798, -4.92879078688
6.167, 0.00328485132195, 0.334074337005, -4.92850420774
6.188, 0.00326635246165, 0.330544733047, -4.9283039363
6.207, 0.00325349671766, 0.322629367828, -4.92819283308
6.227, 0.00323664071038, 0.312032747268, -4.92804072219
6.248, 0.00321530853398, 0.312913808822, -4.92788479644
6.268, 0.00319633097388, 0.311141271591, -4.92771265806
6.287, 0.00318494741805, 0.316307373047, -4.92755816282
6.307, 0.00317907542922, 0.316375904083, -4.92738507109
6.328, 0.00317848473787, 0.326118812561, -4.92713949996
6.344, 0.00318587920628, 0.315985765457, -4.92677805723
6.367, 0.00319797336124, 0.327837190628, -4.92643139678
6.387, 0.00320240249857, 0.327087707519, -4.92605850996
6.407, 0.0031916925218, 0.323622694015, -4.92574904264
6.428, 0.00317959371023, 0.334942388534, -4.92547152342
6.447, 0.00317231542431, 0.335951776504, -4.92522738279
6.467, 0.00316450279206, 0.331958074569, -4.9249579698
6.487, 0.0031605809927, 0.332643632889, -4.92479346114
6.507, 0.00315772485919, 0.333197231293, -4.92470143141
6.527, 0.00313060986809, 0.336005611419, -4.92470381559
6.547, 0.00305574992672, 0.333634166717, -4.92484114486
6.567, 0.00295901787467, 0.333543615341, -4.92507670241
6.587, 0.00285332114436, 0.333191461563, -4.92538569273
6.608, 0.00275484472513, 0.330045337677, -4.92574236692
6.628, 0.00267971120775, 0.336745128631, -4.92607090789
6.647, 0.00261842249893, 0.328006057739, -4.92648623305
6.667, 0.00259318342432, 0.326427955627, -4.92692253889
6.687, 0.00257258489728, 0.327239341736, -4.92727635206
6.707, 0.00252003897913, 0.325218791962, -4.92765496077
6.727, 0.00244323536754, 0.323062400818, -4.92803881484
6.747, 0.00233699707314, 0.320409030914, -4.9285189897
6.767, 0.00222461437806, 0.320126495361, -4.92895386535
6.787, 0.00212317914702, 0.317092189789, -4.92938969451
6.807, 0.00204762420617, 0.313963050842, -4.92987940611
6.827, 0.00196628272533, 0.307749195099, -4.9304773599
6.849, 0.00188407395035, 0.311701869965, -4.93097565474
6.867, 0.00176903454121, 0.28406961441, -4.93165562468
6.887, 0.00170778355096, 0.296175365448, -4.9319689067
6.907, 0.00161812803708, 0.289163284302, -4.93232891875
6.929, 0.00153625756502, 0.289662704468, -4.93264458495
6.947, 0.00148488918785, 0.28241607666, -4.93293640913
6.967, 0.00149776355829, 0.274868087769, -4.93318722564
6.988, 0.00155322009232, 0.274237823486, -4.9335596353
7.007, 0.00161125452723, 0.266124782562, -4.93375513869
7.027, 0.00167252647225, 0.260601921082, -4.93385384382
7.048, 0.00174220988993, 0.254621715546, -4.93395350279
7.068, 0.00178824504837, 0.253201808929, -4.93413517791
7.087, 0.00178378052078, 0.244827041626, -4.93434737044
7.108, 0.00175898522139, 0.238908882141, -4.93460104765
7.127, 0.00173074600752, 0.229807777405, -4.93491385282
7.147, 0.00167592871003, 0.212097854614, -4.93531153501
7.168, 0.00163271487691, 0.235320358276, -4.93552038969
7.187, 0.00156316685025, 0.212930984497, -4.93585608305
7.207, 0.0015544986818, 0.208592472076, -4.93614361586
