time, x, y, z
6.008, 0.413216364893, -0.00105127296156, -5.05997926535
6.019, 0.414570717109, -0.00105076310948, -5.0596805909
6.028, 0.41584702286, 0.000282898210338, -5.05617056559
6.038, 0.417083696664, 0.000282091823529, -5.05586347287
6.048, 0.418322393574, 0.000281280644891, -5.05555214982
6.059, 0.419563113589, 0.000280464663081, -5.05523659644
6.069, 0.416527731743, 0.000383689507219, -5.05240525814
6.078, 0.41761450402, 0.00038300161691, -5.05209387438
6.088, 0.418823721854, 0.00038223340361, -5.05174400933
6.101, 0.420277040695, 0.000381306348896, -5.0513189938
6.108, 0.421621292731, 0.000702875284727, -5.04615396316
6.118, 0.422839843712, 0.000702009297996, -5.04575416487
6.128, 0.424060290756, 0.000701138296942, -5.04534990771
6.138, 0.406327794844, -0.000251550895277, -5.05231525111
6.149, 0.407499170267, -0.000252232499677, -5.05192944619
6.159, 0.408458837296, -0.000252793101239, -5.05160961293
6.169, 0.409633032622, -0.000253481211419, -5.05121453093
6.178, 0.402999362508, 0.000566939075381, -5.05379493892
6.188, 0.404005355358, 0.00056670790952, -5.05345197747
6.199, 0.405012381781, 0.000566476870501, -5.05310489518
6.208, 0.405919635778, 0.000566269050215, -5.05278881237
6.218, 0.396881493935, 0.000788799128015, -5.0488153582
6.23, 0.397987001109, 0.000789464776605, -5.04834551249
6.238, 0.398724665872, 0.000789914507173, -5.04802820374
6.248, 0.399647296808, 0.000790481648002, -5.04762816926
6.259, 0.387588298951, 0.00122742700822, -5.04834316961
6.268, 0.388393982526, 0.0012276806995, -5.04794502386
6.279, 0.38919988956, 0.00122793767947, -5.04754267084
6.288, 0.390006020054, 0.00122819794993, -5.04713611056
6.299, 0.382842564164, -0.000933117899928, -5.04873804233
6.309, 0.383571230539, -0.000933198031334, -5.04834305501
6.319, 0.384226954627, -0.0009332697918, -5.0479838527
6.328, 0.384955461299, -0.00093334916793, -5.04758102532
6.339, 0.378566861082, 0.000263470150111, -5.04716859081
6.349, 0.379222912131, 0.000263684401368, -5.04675746092
6.359, 0.379813024038, 0.0002638795107, -5.0463837316
6.369, 0.380468369898, 0.000264098579473, -5.0459647644
6.379, 0.374670936393, -2.79562686444e-05, -5.0500235651
6.388, 0.375202352471, -2.7611779562e-05, -5.04967959939
6.398, 0.375792249905, -2.72259484606e-05, -5.04929386582
6.409, 0.371702217771, 0.000487451533711, -5.04679276304
6.418, 0.372188120501, 0.000487359779441, -5.04641867272
6.428, 0.372727271137, 0.000487257715622, -5.0459993885
6.439, 0.373265598121, 0.000487155525259, -5.04557607286
6.449, 0.364610779531, -0.00373758171271, -5.04540569043
6.458, 0.365054288033, -0.00373739337967, -5.04497693119
6.469, 0.365496595259, -0.00373720362763, -5.0445441512
6.478, 0.365937701209, -0.00373701246709, -5.04410735045
6.488, 0.36632828909, -0.00176875128504, -5.04677082974
6.499, 0.36676650058, -0.00176874315449, -5.0463573731
6.509, 0.367203508788, -0.0017687345926, -5.04594002448
6.518, 0.369787463047, -0.000424438683648, -5.05071361643
6.53, 0.370243720945, -0.00042487714026, -5.05034100237
6.538, 0.370653350107, -0.000425273509929, -5.0500023421
6.549, 0.371107490674, -0.000425715666725, -5.04962274531
6.558, 0.374999085574, 0.00287144317436, -5.05309659965
6.568, 0.37548575586, 0.00287136938186, -5.05274880156
6.578, 0.375971455311, 0.00287129568308, -5.05239749096
6.59, 0.37655312965, 0.00287120735728, -5.05197170323
6.599, 0.371732281052, -0.00776182253046, -5.05291012042
6.609, 0.372120494278, -0.00776151603726, -5.05259516377
6.618, 0.372550776642, -0.00776117365287, -5.05224209673
6.633, 0.373389644277, -0.00489346341082, -5.04841080333
6.639, 0.37382165814, -0.00489322576133, -5.04801594056
6.648, 0.374252505051, -0.00489298663424, -5.04761747002
6.659, 0.374682185011, -0.00489274604105, -5.04721539172
6.669, 0.373841553881, -0.00452524813973, -5.04941670897
6.679, 0.37421360704, -0.00452553431435, -5.0490736245
6.688, 0.374584667913, -0.00452582175431, -5.04872771498
6.699, 0.374995855232, -0.00452614252592, -5.04834023213
6.708, 0.37570360259, -0.00131069326255, -5.05445685178
6.718, 0.376115468352, -0.00131102090395, -5.05413152813
6.73, 0.376526122277, -0.00131135008672, -5.05380301016
6.738, 0.376935564363, -0.00131168079607, -5.05347129788
6.748, 0.371533611653, -0.00319695022211, -5.04835952348
6.758, 0.371914047855, -0.00319673863083, -5.04793190285
6.768, 0.372223857089, -0.00319656462676, -5.04757865511
6.779, 0.369603660981, -0.0024922149701, -5.04960584213
6.788, 0.369913788675, -0.00249196151657, -5.0492326193
6.798, 0.370222311307, -0.00249170723032, -5.04885609653
6.809, 0.370529228877, -0.00249145213366, -5.04847627381
6.818, 0.366145414142, -0.00200858202141, -5.0543601495
6.829, 0.366399330425, -0.00200872239042, -5.05404067534
6.839, 0.366626218321, -0.0020088487958, -5.05375043844
6.849, 0.366901725314, -0.00200900335712, -5.05339272328
6.858, 0.375282758418, 0.00617769345724, -5.05755458859
6.869, 0.3756133784, 0.00617762094181, -5.05726892567
6.88, 0.375975457187, 0.00617754094015, -5.05695160117
6.888, 0.376270260594, 0.00617747527793, -5.05668918628
6.898, 0.365903483054, 0.00228964321905, -5.05686083224
6.908, 0.366115943735, 0.00228956557812, -5.05656883284
6.918, 0.366326460554, 0.00228948807396, -5.05627404095
6.929, 0.366535033511, 0.00228941071718, -5.05597645657
6.939, 0.359373131604, 0.00298331283212, -5.053830077
6.948, 0.359486550521, 0.00298311113684, -5.05353933294
6.959, 0.359610514084, 0.00298288912685, -5.05321369253
6.969, 0.359720023836, 0.00298269146851, -5.05291802471
6.978, 0.342181564818, -0.00146183356234, -5.06002531241
6.989, 0.342100754633, -0.00146169723177, -5.05974718453
6.999, 0.342031548578, -0.00146157950091, -5.05951712753
7.008, 0.34195981546, -0.00146145664254, -5.05928502684
7.018, 0.336082506094, 0.00168997454711, -5.05846934868
7.028, 0.335933576969, 0.00169031074687, -5.05820054571
7.038, 0.335781250162, 0.0016906572204, -5.05792919268
7.048, 0.335625525674, 0.00169101408385, -5.0576552896
7.06, 0.340082645926, -0.000970452785644, -5.05748271633
7.069, 0.339994755341, -0.000970298225753, -5.05726053535
7.078, 0.339882360914, -0.000970099479199, -5.05698077452
7.089, 0.339766802493, -0.000969893729897, -5.05669847042
7.098, 0.339648080078, -0.000969680900752, -5.05641362306
7.109, 0.328155217262, 0.00778707356003, -5.05433865138
7.119, 0.327901000726, 0.00778739816187, -5.05402825262
7.129, 0.327668843227, 0.00778769636534, -5.05374652279
7.139, 0.327407527833, 0.00778803381302, -5.05343111872
7.15, 0.306812003766, -0.00263281706335, -5.05948813398
7.159, 0.306363124573, -0.00263232445312, -5.05926485392
7.169, 0.305809782303, -0.00263171428285, -5.05898966943
7.179, 0.305301508158, -0.0026311505311, -5.05873696102
7.189, 0.287887682378, -0.00268430024311, -5.06665532216
7.2, 0.287178334636, -0.00268371933015, -5.0664910931
7.208, 0.28653486717, -0.00268319022089, -5.06634158465
7.218, 0.285814848823, -0.00268259600207, -5.06617376185
7.228, 0.283609964076, -0.00867773349823, -5.06661637846
7.238, 0.282861974193, -0.00867656694773, -5.06645177091
7.249, 0.28210829305, -0.00867538441778, -5.06628530349
7.259, 0.281272983409, -0.00867406593944, -5.06610014348
7.268, 0.269753098713, -0.00332110060942, -5.0662506313
7.278, 0.26886328659, -0.00331959971151, -5.06608190253
7.289, 0.267967246414, -0.00331807922369, -5.06591132894
7.298, 0.267064978186, -0.00331653901967, -5.06573891052
7.308, 0.262879073728, -0.00146096717264, -5.07330574395
7.32, 0.261737240178, -0.00145960521199, -5.07319914395
7.328, 0.26096987895, -0.00145868461839, -5.07312668728
7.339, 0.259909129972, -0.00145740716929, -5.0730257852
7.348, 0.240824016968, 0.00828380094068, -5.07750297213
7.359, 0.239647383287, 0.00828483442751, -5.07745813041
7.369, 0.238345054956, 0.00828598232938, -5.0774074618
7.378, 0.250679508506, -0.0186652732714, -5.07195191228
7.388, 0.24962629038, -0.0186651102197, -5.07184509303
7.399, 0.248566433613, -0.0186649489329, -5.07173678603
7.409, 0.260434487445, -0.00926630466288, -5.07615301845
7.419, 0.259593420484, -0.00926573681844, -5.07609664386
7.428, 0.258653494743, -0.00926510099537, -5.07603286697
7.438, 0.257707561339, -0.00926445972808, -5.07596782511
7.448, 0.269211715591, -0.00761389854302, -5.07841837075
7.458, 0.268393361964, -0.00761335552506, -5.0783793512
7.469, 0.267487269017, -0.00761275309393, -5.07833518293
7.478, 0.26674060668, -0.00761225558079, -5.07829792316
7.488, 0.276878262849, -0.00594542575554, -5.07679299998
7.499, 0.276093296731, -0.00594463295075, -5.07672630613
7.509, 0.275446313241, -0.00594397653268, -5.07667053822
7.519, 0.274650817158, -0.00594316644475, -5.07660117721
7.529, 0.272509517517, -0.00502978748564, -5.0767750295
7.538, 0.27176003585, -0.00503000936614, -5.07671216581
7.549, 0.270930256056, -0.00503026042592, -5.07664169551
7.563, 0.269866682738, -0.00503058984677, -5.07655015772
7.569, 0.282935790906, -0.00206287570569, -5.06792847952
7.579, 0.282291608905, -0.00206266543145, -5.0677858381
7.59, 0.281643140789, -0.00206245535991, -5.06764164783
7.599, 0.281055661981, -0.00206226649701, -5.06751048263
7.608, 0.290688661122, -0.000648628067071, -5.06891085407
7.618, 0.290135263462, -0.000648064750741, -5.06877845721
