x,vx,z,vz,az,theta
0.0,4.16666666667,5.0,-4.16666666667,10.0,0.429775431305,
0.430151977661,4.30083078953,4.56984802234,-4.17156569029,6.91166104541e-13,-5.45860069577e-07,
0.87372036807,4.0273702087,4.13920614227,-5.09053253642,3.16124208924,0.523499999999,
1.28994269782,3.91874005136,3.61666758224,-5.71377163777,20.0,0.5235,
1.69530201522,4.65461543247,3.03180511095,-4.85856579066,20.0,0.5235,
2.17424886751,5.34805832728,2.53246322342,-4.02118004633,14.5529103856,0.5235,
2.7225400104,5.73088081842,2.11685990925,-3.67300692795,0.0,-1.69573833891e-07,
3.30911341217,5.36467364573,1.73607391013,-4.59433827804,1.5816261483,-0.5235,
3.85906608946,4.92879105385,1.26315477299,-5.22115337749,20.0,-0.5235,
4.36543051603,3.65655399834,0.727554120496,-4.11058433626,20.0,-0.5235,
4.74457123882,2.41943435406,0.303010375734,-2.89525065762,20.0,-0.5235,
5.0,0.0,0.0,0.0,0.0,0.0,
