x,vx,z,vz,az,theta
0.0,2.0,5.0,-5.0,10.0,0.20135792079,
0.207133959136,2.06789718389,4.48216510216,-4.945820833,0.0,-8.23496621738e-07,
0.421057636531,2.15872849701,3.96974812074,-5.9115941089,0.0,-1.68115059973e-07,
0.644064445543,2.15990832089,3.36075381672,-6.82578000235,7.55396592453,0.5235,
0.867189233531,2.45582940068,2.66034091216,-7.0360435302,18.19155445,0.5235,
1.11990613808,3.3059585992,1.93890166339,-6.17439130309,17.8376239035,-0.523499999999,
1.45763595865,2.38121229522,1.30362764233,-5.28648028035,20.0,-0.5235,
1.70289114628,1.68046278717,0.757144719397,-4.1807848752,20.0,-0.523499999998,
1.87807138183,1.14794665242,0.32123133095,-3.03396429277,20.0,-0.5235,
2.0,0.0,0.0,0.0,0.0,0.0,
