x,vx,z,vz,az,theta
0.0,3.125,5.0,-3.125,10.0,0.317823703928,
0.3125,3.28125,4.6875,-3.1125822404,8.192200433,0.442102662614,
0.640625,3.46768321452,4.37624177596,-3.30987513269,8.33361881708,0.413046276523,
0.987393321451,3.62881157674,4.04525426271,-3.4803995638,8.41392062817,0.385572343458,
1.35027447912,3.763809649,3.69721430633,-3.63117162763,8.53822570342,0.357034110787,
1.72665544402,3.87402752757,3.33409714357,-3.75856980059,8.64626900538,0.321735460802,
2.11405819678,3.95373280051,2.95824016351,-3.86313717635,8.7769398864,0.274399638251,
2.50943147683,3.9938741048,2.57192644587,-3.94101665211,9.00801803651,0.208263045363,
2.90881888731,3.98043089341,2.17782478066,-3.98085924976,9.56965373035,0.119705548617,
3.30686197665,3.89569003379,1.77973885568,-3.95112488195,10.436168345,0.00950658910189,
3.69643098003,3.71082662991,1.38462636749,-3.8285326815,11.8687519492,-0.119886704727,
4.06751364302,3.38333537995,1.00177309934,-3.57360598218,14.2436657353,-0.258560512267,
4.40584718102,2.84997348512,0.644412501117,-3.12511459608,18.5275873406,-0.369065482837,
4.69084452954,2.03910321963,0.331901041509,-2.21841909911,20.0,-0.458215378491,
4.8947548515,1.05245148502,0.110059131598,-1.10059131598,20.0,-0.5235,
5.0,0.0,0.0,0.0,0.0,0.0,
