338
33, 57
61, 29
85,  8
122,  9
120, 10
117, 16
117, 26
119, 31
125, 38
119, 47
119, 57
122, 63
127, 68
136, 71
144, 70
151, 66
157, 54
156, 46
148, 36
152, 31
155, 23
154, 15
150,  9
151,  8
457,  8
458, 426
466, 426
466,  9
727,  8
728, 10
724, 17
724, 27
729, 36
736, 40
745, 41
751, 39
759, 31
761, 20
756, 10
757,  8
839,  8
871, 36
892, 57
911, 83
917, 100
917, 115
913, 123
905, 131
887, 144
851, 164
821, 184
810, 194
803, 204
799, 218
800, 227
804, 239
815, 257
830, 276
884, 336
896, 354
902, 369
903, 383
898, 403
890, 419
867, 455
860, 469
856, 484
856, 494
861, 511
876, 534
901, 563
907, 572
914, 589
914, 602
911, 616
893, 652
862, 693
859, 683
850, 674
836, 673
828, 677
825, 669
817, 662
804, 661
799, 663
793, 669
790, 679
793, 689
796, 693
806, 698
812, 698
822, 693
824, 700
828, 705
827, 707
466, 706
467, 584
673, 584
676, 578
680, 583
686, 586
694, 587
704, 583
709, 578
709, 592
711, 596
720, 604
730, 605
736, 603
741, 599
746, 611
758, 617
769, 615
777, 607
779, 599
778, 592
770, 582
765, 580
755, 580
746, 585
743, 576
737, 570
732, 568
722, 568
711, 574
710, 562
703, 553
697, 550
687, 550
681, 554
680, 553
676, 535
670, 521
663, 497
663, 478
668, 463
675, 449
703, 402
710, 383
712, 363
708, 348
702, 336
688, 317
663, 288
652, 272
645, 256
644, 239
648, 227
657, 211
688, 167
696, 147
698, 145
709, 145
716, 141
721, 133
721, 124
723, 122
730, 123
739, 119
744, 112
746, 99
753, 101
762, 100
770, 95
773, 90
784, 100
794, 101
801, 98
807, 92
810, 84
809, 76
801, 66
796, 64
786, 64
781, 66
773, 74
764, 65
747, 65
739, 72
736, 87
732, 85
722, 85
716, 88
710, 95
708, 108
695, 109
688, 115
685, 121
685, 132
690, 140
687, 153
675, 174
649, 210
638, 233
636, 244
637, 253
643, 271
659, 295
692, 334
701, 350
704, 359
704, 377
698, 395
684, 421
670, 443
661, 461
656, 476
656, 500
663, 523
669, 537
673, 553
673, 564
671, 571
667, 577
262, 577
257, 567
257, 552
273, 503
274, 479
271, 468
262, 448
233, 398
226, 377
226, 362
230, 349
239, 334
269, 298
284, 276
292, 256
292, 237
287, 223
281, 212
251, 169
244, 156
239, 141
240, 124
242, 120
236, 118
231, 113
226, 111
213, 112
206, 118
202, 107
194, 100
180, 99
173, 103
170, 95
162, 88
148, 87
143, 89
137, 95
135, 100
135, 111
137, 115
143, 121
151, 124
160, 123
166, 120
169, 127
179, 135
192, 135
199, 131
201, 128
203, 130
203, 135
205, 139
214, 147
223, 148
232, 144
243, 170
273, 213
280, 225
285, 239
285, 254
279, 270
266, 290
230, 334
223, 347
219, 360
219, 378
224, 395
234, 416
249, 440
262, 465
267, 482
266, 501
250, 550
250, 569
255, 582
259, 584
457, 584
458, 706
183, 707
181, 705
184, 702
187, 693
184, 681
176, 674
163, 673
157, 676
150, 686
150, 697
155, 705
154, 707
74, 707
52, 680
30, 649
16, 621
11, 601
12, 586
17, 574
28, 558
48, 535
60, 518
65, 508
69, 492
68, 480
62, 463
54, 448
39, 426
28, 405
23, 389
22, 376
26, 360
38, 340
56, 318
91, 280
116, 247
123, 232
125, 216
120, 202
106, 186
85, 171
30, 139
11, 121
 8, 114
 9, 96
17, 78
14
766, 649
760, 652
755, 657
753, 662
753, 673
755, 678
761, 684
773, 687
783, 683
789, 674
790, 666
787, 657
781, 651
776, 649
36
287, 633
281, 627
276, 625
266, 625
261, 627
254, 635
253, 642
251, 644
246, 642
236, 642
227, 648
223, 655
223, 669
217, 662
211, 659
200, 659
190, 666
187, 672
187, 683
189, 688
199, 696
208, 697
216, 694
222, 688
225, 679
225, 671
231, 677
239, 680
251, 677
257, 671
261, 659
273, 662
280, 660
284, 657
289, 649
290, 644
14
303, 608
297, 611
292, 616
290, 621
290, 632
292, 637
298, 643
310, 646
318, 643
324, 637
327, 625
324, 616
319, 611
313, 608
12
471, 493
464, 499
461, 505
462, 518
471, 527
478, 529
486, 528
495, 522
499, 511
498, 504
496, 500
488, 493
13
829, 479
819, 486
816, 492
816, 503
819, 509
824, 514
832, 517
841, 516
849, 511
854, 500
853, 492
851, 487
843, 480
14
384, 452
379, 457
376, 463
376, 474
379, 479
384, 484
392, 487
401, 486
409, 481
414, 470
411, 458
405, 452
400, 450
389, 450
14
597, 419
589, 429
589, 441
594, 449
601, 453
609, 454
616, 452
620, 449
625, 441
626, 434
623, 425
617, 419
612, 417
602, 417
13
510, 390
503, 394
498, 400
496, 408
499, 418
507, 425
514, 427
522, 426
529, 422
534, 415
534, 402
532, 398
524, 391
11
427, 339
418, 348
417, 362
422, 370
429, 374
442, 374
448, 370
453, 362
453, 350
451, 346
443, 339
13
354, 196
344, 203
341, 209
341, 220
344, 226
352, 233
361, 234
373, 228
377, 221
378, 213
375, 204
370, 199
364, 196
15
568, 181
562, 184
557, 189
555, 194
555, 205
557, 210
563, 216
575, 219
585, 215
588, 212
591, 206
592, 198
589, 189
583, 183
578, 181
12
371, 93
365, 96
359, 103
358, 117
360, 121
370, 129
383, 129
391, 124
393, 121
396, 109
393, 101
385, 94
13
198, 35
192, 38
186, 45
185, 58
190, 67
201, 72
210, 71
217, 67
220, 63
223, 55
222, 47
220, 43
212, 36
