x,vx,z,vz,az,theta,tbf_x,tbf_z
0.0,0.0,5.0,-1.0,10.0,0.0,0.0,-5.0
0.0,0.0,4.99999999955,-0.99999999991,9.99999999767,1.10054513823e-07,0.0,-4.99999999955
0.0,1.10054513835e-07,4.99999999911,-1.0,9.99999999872,1.29892749117e-07,0.0,-4.99999999911
1.10054512837e-08,2.34444537141e-07,4.99999999866,-1.0,9.99999999886,1.12248245275e-07,-1.10054512837e-08,-4.99999999866
3.44499050728e-08,3.34970555774e-07,4.9999999982,-1.0,9.99999999894,6.43070660358e-08,-3.44499050728e-08,-4.9999999982
6.79469606547e-08,3.82529093998e-07,4.99999999775,-1.0,9.99999999892,-9.10519242119e-10,-6.79469606547e-08,-4.99999999775
1.06199869837e-07,3.62492120278e-07,4.99999999729,-1.0,9.99999999875,-7.20072005608e-08,-1.06199869837e-07,-4.99999999729
1.42449081958e-07,2.72360313613e-07,4.99999999683,-1.0,9.99999999842,-1.51805206388e-07,-1.42449081958e-07,-4.99999999683
1.6968511344e-07,1.06937091545e-07,4.99999999637,-1.0,9.99999999801,-2.27859172537e-07,-1.6968511344e-07,-4.99999999637
1.80378823051e-07,-1.26268935422e-07,4.99999999591,-1.0,9.99999999747,-3.02181730494e-07,-1.80378823051e-07,-4.99999999591
1.67751929477e-07,-4.22137219258e-07,4.99999999545,-1.0,9.99999999663,-3.75288834763e-07,-1.67751929477e-07,-4.99999999545
1.25538207559e-07,-7.76319193169e-07,4.99999999499,-1.0,9.9999999962,-4.27468993619e-07,-1.25538207559e-07,-4.99999999499
4.7906288384e-08,-1.16497222712e-06,4.99999999453,-1.0,9.99999999501,-4.82229071108e-07,-4.7906288384e-08,-4.99999999453
-6.85909343595e-08,-1.58895268697e-06,4.99999999407,-1.0,9.99999999463,-5.09575610803e-07,6.85909343595e-08,-4.99999999407
-2.27486203016e-07,-2.01908066363e-06,4.99999999361,-1.0,9.99999999389,-5.23972014845e-07,2.27486203016e-07,-4.99999999361
-4.29394269619e-07,-2.44209864538e-06,4.99999999315,-1.0,9.99999999367,-5.12875892707e-07,4.29394269619e-07,-4.99999999315
-6.73604134065e-07,-2.83286960626e-06,4.99999999269,-1.0,9.99999999415,-4.6989892231e-07,6.73604134065e-07,-4.99999999269
-9.56891094716e-07,-3.16112504854e-06,4.99999999223,-1.0,9.99999999509,-3.98980184279e-07,9.56891094716e-07,-4.99999999223
-1.27300359983e-06,-3.40204898084e-06,4.99999999177,-1.0,9.99999999687,-2.88572678768e-07,1.27300359983e-06,-4.99999999177
-1.61320849778e-06,-3.52051921053e-06,4.99999999131,-1.0,9.99999999867,-1.41658350385e-07,1.61320849778e-06,-4.99999999131
-1.96526041885e-06,-3.48615160055e-06,4.99999999085,-1.0,9.99999999911,3.2877584906e-08,1.96526041885e-06,-4.99999999085
-2.31387557896e-06,-3.27896643551e-06,4.9999999904,-1.0,9.99999999807,2.03813467995e-07,2.31387557896e-06,-4.9999999904
-2.64177222249e-06,-2.91120464567e-06,4.99999998994,-1.0,9.99999999505,3.8058295856e-07,2.64177222249e-06,-4.99999998994
-2.93289268705e-06,-2.38506145475e-06,4.99999998949,-1.0,9.99999999068,5.32055444416e-07,2.93289268705e-06,-4.99999998949
-3.17139883258e-06,-1.733752937e-06,4.99999998903,-1.0,9.9999999894,5.79234718091e-07,3.17139883258e-06,-4.99999998903
-3.34477412616e-06,-1.06783057141e-06,4.99999998858,-1.0,9.99999999236,5.09972652501e-07,3.34477412616e-06,-4.99999998858
-3.4515571833e-06,-5.0446638996e-07,4.99999998813,-1.0,9.99999999625,3.66542009236e-07,3.4515571833e-06,-4.99999998813
-3.5020038223e-06,-1.12701061073e-07,4.99999998768,-0.999999999999,9.99999999816,2.6307283561e-07,3.5020038223e-06,-4.99999998768
-3.51327392841e-06,1.56006827576e-07,4.99999998723,-0.999999999999,9.99999999768,2.74061529371e-07,3.51327392841e-06,-4.99999998723
-3.49767324565e-06,4.22268015567e-07,4.99999998678,-0.999999999998,9.9999999973,2.97419014383e-07,3.49767324565e-06,-4.99999998678
-3.45544644405e-06,6.98573629216e-07,4.99999998632,-0.999999999998,9.99999999713,3.16705656127e-07,3.45544644405e-06,-4.99999998632
-3.38558908115e-06,9.80350603959e-07,4.99999998586,-0.999999999997,9.99999999678,3.41626002316e-07,3.38558908115e-06,-4.99999998586
-3.28755402081e-06,1.27295907612e-06,4.99999998541,-0.999999999997,9.99999999659,3.55666049735e-07,3.28755402081e-06,-4.99999998541
-3.16025811321e-06,1.56497717216e-06,4.99999998495,-0.999999999996,9.99999999665,3.54293051036e-07,3.16025811321e-06,-4.99999998495
-3.00376039595e-06,1.84102136467e-06,4.99999998448,-0.999999999996,9.99999999684,3.43816493903e-07,3.00376039595e-06,-4.99999998448
-2.81965825948e-06,2.09278679037e-06,4.99999998402,-0.999999999996,9.9999999971,3.22609165821e-07,2.81965825948e-06,-4.99999998402
-2.61037958047e-06,2.31075661688e-06,4.99999998356,-0.999999999995,9.9999999975,2.9173729363e-07,2.61037958047e-06,-4.99999998356
-2.3793039188e-06,2.48695607965e-06,4.99999998309,-0.999999999995,9.99999999783,2.54170450337e-07,2.3793039188e-06,-4.99999998309
-2.13060831084e-06,2.61677872605e-06,4.99999998262,-0.999999999995,9.99999999826,2.03785079421e-07,2.13060831084e-06,-4.99999998262
-1.86893043822e-06,2.68972486926e-06,4.99999998216,-0.999999999994,9.99999999867,1.41330048613e-07,1.86893043822e-06,-4.99999998216
-1.59995795133e-06,2.69656867439e-06,4.99999998169,-0.999999999994,9.99999999901,6.963187095e-08,1.59995795133e-06,-4.99999998169
-1.33030108388e-06,2.63137211164e-06,4.99999998122,-0.999999999994,9.99999999916,-1.95697407034e-09,1.33030108388e-06,-4.99999998122
-1.06716387272e-06,2.49784653202e-06,4.99999998075,-0.999999999995,9.99999999909,-9.44587752805e-08,1.06716387272e-06,-4.99999998075
-8.17379219508e-07,2.27849543014e-06,4.99999998028,-0.999999999996,9.99999999878,-1.80285036057e-07,8.17379219508e-07,-4.99999998028
-5.89529676461e-07,1.98428562257e-06,4.99999997982,-0.999999999996,9.99999999822,-2.64748295416e-07,5.89529676461e-07,-4.99999997982
-3.91101114211e-07,1.62032304581e-06,4.99999997935,-0.999999999997,9.99999999741,-3.42016274192e-07,3.91101114211e-07,-4.99999997935
-2.29068809643e-07,1.19729061932e-06,4.99999997889,-0.999999999998,9.99999999716,-3.7426481283e-07,2.29068809643e-07,-4.99999997889
-1.09339747702e-07,7.63161275421e-07,4.99999997844,-1.0,9.99999999559,-3.9476700987e-07,1.09339747702e-07,-4.99999997844
-3.30236201508e-08,3.30236201614e-07,4.99999997799,-1.0,10.0000000267,-3.13724391765e-07,3.30236201508e-08,-4.99999997799
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
