x,vx,z,vz,az,theta
0.0,1.0,5.0,-1.66666666667,10.0,0.100167421162,
0.1,1.05,4.83333333333,-1.63834589623,9.00138899129,0.0520773068915,
0.205,1.04435565943,4.66949874371,-1.70666040525,9.30389051588,0.0518539861943,
0.309435565942,1.04036064713,4.49883270319,-1.74338869562,9.51574411462,0.0519099623604,
0.413471630656,1.03771662962,4.32449383362,-1.75822829612,9.64529855166,0.0521512475902,
0.517243293618,1.03610944349,4.14867100401,-1.75984521856,9.71227678317,0.0523588463758,
0.620854237967,1.03513312204,3.97268648215,-1.7547516154,9.73800357147,0.0525330216243,
0.724367550171,1.03450961849,3.79721132061,-1.74719962444,9.74059212404,0.0526002504567,
0.82781851202,1.03399626744,3.62249135816,-1.73954361524,9.73289041911,0.0525648788825,
0.931218138764,1.03343371035,3.44853699664,-1.7328080207,9.72264509778,0.0524399638031,
1.0345615098,1.03272417693,3.27525619458,-1.72722388007,9.7131867698,0.0522652730311,
1.13783392749,1.03183110874,3.10253380657,-1.72268707577,9.70539273153,0.0521220592079,
1.24101703837,1.03080317623,2.93026509899,-1.71901209752,9.69839883668,0.0521429281003,
1.34409735599,1.02981040381,2.75836388924,-1.71611011488,9.69093939232,0.0525292738392,
1.44707839637,1.02920226502,2.58675287775,-1.71403068689,9.68105358112,0.0535428434151,
1.54999862287,1.02955248044,2.41534980906,-1.71303207603,9.66603029709,0.0554927115952,
1.65295387092,1.03168674415,2.24404660146,-1.71365630745,9.64188204171,0.0586857403868,
1.75612254533,1.03665404639,2.07268097072,-1.7168548253,9.6029416474,0.0633280255152,
1.85978794997,1.0455942659,1.90099548819,-1.72414851171,9.54301476024,0.0693787330108,
1.96434737655,1.05946969605,1.72858063702,-1.73765986414,9.45722694122,0.0763343342037,
2.07029434615,1.07861723159,1.55481465061,-1.75993796486,9.34625108553,0.0829606688477,
2.17815606931,1.10213457512,1.37882085412,-1.79332851312,9.22216156194,0.0870215237724,
2.28836952682,1.12717926065,1.19948800281,-1.83873542825,9.117721488,0.0850571699907,
2.40108745289,1.14827960666,1.01561445998,-1.89348478525,9.09982373788,0.0723202024755,
2.51591541355,1.1566184109,0.826265981458,-1.94801137682,9.29062587906,0.0428087123055,
2.63157725464,1.13854733297,0.631464843775,-1.98083972382,10.2031788564,-0.0106931717596,
2.74543198794,1.07070974354,0.433380871394,-1.89377585187,11.9593823478,-0.0942576469517,
2.85250296229,0.904614789408,0.244003286207,-1.5433519238,14.1776303492,-0.205301465431,
2.94296444124,0.570355587656,0.0896680938267,-0.896680938266,16.5673258282,-0.333182396569,
3.0,0.0,0.0,0.0,0.0,0.0,
