x,vx,z,vz,az,theta,tbf_x,tbf_z
0.0,0.0,5.0,-1.0,10.0,0.0,0.0,-5.0
0.0,0.0,4.9,-1.0,10.0,9.1238240857e-11,0.0,-4.9
0.0,9.1238240857e-11,4.8,-1.0,10.0,-5.05296283949e-11,0.0,-4.8
9.12382432137e-12,3.61467001921e-11,4.7,-1.0,10.0,5.03788592947e-11,-9.12382432137e-12,-4.7
1.27384941498e-11,8.47182271711e-11,4.6,-1.0,10.0,1.31463043283e-10,-1.27384941498e-11,-4.6
2.12103168169e-11,2.11945360121e-10,4.5,-1.0,10.0,6.20759013969e-11,-2.12103168169e-11,-4.5
4.24048525098e-11,2.63423994096e-10,4.4,-1.0,10.0,1.32443784185e-10,-4.24048525098e-11,-4.4
6.87472509572e-11,3.82696574357e-10,4.3,-1.0,10.0,-2.95273185804e-11,-6.87472509572e-11,-4.3
1.0701691101e-10,3.3403442706e-10,4.2,-1.0,10.0,-1.68081748326e-10,-1.0701691101e-10,-4.2
1.40420355731e-10,1.49250963789e-10,4.1,-1.0,10.0,-1.45402847011e-11,-1.40420355731e-10,-4.1
1.55345449141e-10,1.27248125637e-10,4.0,-1.0,10.0,-4.95985981606e-11,-1.55345449141e-10,-4.0
1.68070262552e-10,7.12871159044e-11,3.9,-1.0,10.0,5.99301766406e-11,-1.68070262552e-10,-3.9
1.75198973298e-10,1.27652934757e-10,3.8,-1.0,10.0,-1.64631807111e-11,-1.75198973298e-10,-3.8
1.87964270229e-10,1.04807108086e-10,3.7,-1.0,10.0,-7.64900850718e-11,-1.87964270229e-10,-3.7
1.98444984416e-10,2.30766669465e-11,3.6,-1.0,10.0,9.01605566182e-11,-1.98444984416e-10,-3.6
2.00752650452e-10,1.12083381226e-10,3.5,-1.0,10.0,6.17233042361e-11,-2.00752650452e-10,-3.5
2.119609889e-10,1.6820251911e-10,3.4,-1.0,10.0,-1.22600374622e-12,-2.119609889e-10,-3.4
2.28781238679e-10,1.58566391228e-10,3.3,-1.0,10.0,-2.69467282301e-10,-2.28781238679e-10,-3.3
2.44637880449e-10,-1.18829203261e-10,3.2,-1.0,10.0,-1.26481613093e-10,-2.44637880449e-10,-3.2
2.32754959956e-10,-2.39369363602e-10,3.1,-1.0,10.0,1.71443625609e-11,-2.32754959956e-10,-3.1
2.08818021997e-10,-2.10256540154e-10,3.0,-1.0,10.0,8.99225367602e-11,-2.08818021997e-10,-3.0
1.8779236681e-10,-1.09821177596e-10,2.9,-1.0,10.0,-2.97114248304e-11,-1.8779236681e-10,-2.9
1.76810247929e-10,-1.34041543395e-10,2.8,-1.0,10.0,-4.00312247507e-11,-1.76810247929e-10,-2.8
1.63406095281e-10,-1.6737069115e-10,2.7,-1.0,10.0,-1.21297786401e-11,-1.63406095281e-10,-2.7
1.46669027307e-10,-1.71131935324e-10,2.6,-1.0,10.0,3.39306067746e-11,-1.46669027307e-10,-2.6
1.29555835538e-10,-1.28644731333e-10,2.5,-1.0,10.0,7.47480773296e-11,-1.29555835538e-10,-2.5
1.16691361794e-10,-4.74644142534e-11,2.4,-1.0,10.0,1.46187483638e-10,-1.16691361794e-10,-2.4
1.11944915959e-10,1.01096290296e-10,2.3,-1.0,10.0,4.98200922932e-11,-1.11944915959e-10,-2.3
1.2205454419e-10,1.45861568468e-10,2.2,-1.0,10.0,2.36126277937e-11,-1.2205454419e-10,-2.2
1.36640701343e-10,1.62181118691e-10,2.1,-1.0,10.0,-7.24736589233e-11,-1.36640701343e-10,-2.1
1.52858808061e-10,8.15984023733e-11,2.0,-1.0,10.0,-2.70448101336e-11,-1.52858808061e-10,-2.0
