ax,ay,az,gx,gy,gz,mx,my,mx
1.87227,-3.20344,7.6375,-0.958866,1.86559,0.683232,-0.177539,22.6963,28.4238
1.86748,-3.2609,7.64708,-0.952481,1.87836,0.682168,-0.177539,22.6963,28.4238
1.80523,-3.25611,7.48906,-0.940774,1.89219,0.684296,-0.177539,22.6963,28.4238
1.80523,-3.30879,7.54174,-0.922682,1.91241,0.680039,-0.177539,22.6963,28.4238
1.76213,-3.29921,7.513,-0.903526,1.92625,0.677911,-0.177539,22.6963,28.4238
1.69988,-3.42371,7.50343,-0.893948,1.93795,0.677911,-0.177539,22.6963,28.4238
1.61369,-3.49553,7.45076,-0.882242,1.95179,0.67259,-0.177539,22.6963,28.4238
1.64721,-3.32794,7.42681,-0.855636,1.96243,0.670461,-0.177539,22.6963,28.4238
1.61369,-3.33752,7.40287,-0.844994,1.97414,0.670461,-0.177539,22.6963,28.4238
1.70946,-3.41892,7.35499,-0.835416,1.98691,0.67259,-0.177539,22.6963,28.4238
1.5275,-3.47638,7.32626,-0.818388,2.00074,0.67259,-0.177539,22.6963,28.4238
1.58017,-3.40934,7.23528,-0.799232,2.00606,0.664076,-0.177539,22.6963,28.4238
1.5275,-3.45244,7.38851,-0.786462,2.01777,0.66514,-0.177539,22.6963,28.4238
1.61369,-3.43807,7.49864,-0.767306,2.02415,0.671526,-0.177539,22.6963,28.4238
1.48441,-3.45723,7.38372,-0.757728,2.04012,0.667269,-0.177539,22.6963,28.4238
1.5706,-3.54821,7.24485,-0.739636,2.04331,0.663012,-0.177539,22.6963,28.4238
1.43173,-3.62003,7.32626,-0.717287,2.05395,0.663012,-0.177539,22.6963,28.4238
1.35033,-3.5099,7.35499,-0.699195,2.06034,0.667269,-0.177539,22.6963,28.4238
1.54187,-3.58173,7.11078,-0.686425,2.06247,0.66514,-0.177539,22.6963,28.4238
1.30723,-3.64398,7.12993,-0.667269,2.06885,0.664076,10.1197,31.6318,31.5246
1.29287,-3.6344,7.1826,-0.648113,2.08056,0.666204,10.1197,31.6318,31.5246
1.17316,-3.62482,7.20655,-0.633213,2.08269,0.664076,10.1197,31.6318,31.5246
1.13006,-3.68707,7.16824,-0.623635,2.08588,0.661947,10.1197,31.6318,31.5246
1.00078,-3.61046,7.08684,-0.599158,2.09439,0.666204,10.1197,31.6318,31.5246
0.919373,-3.73017,7.09163,-0.575745,2.09759,0.667269,10.1197,31.6318,31.5246
0.972046,-3.64398,7.13472,-0.56191,2.09971,0.663012,10.1197,31.6318,31.5246
0.852336,-3.68707,7.08205,-0.544883,2.10078,0.66514,10.1197,31.6318,31.5246
0.857124,-3.62961,6.92403,-0.520406,2.10397,0.66514,10.1197,31.6318,31.5246
0.818817,-3.62961,7.07726,-0.509763,2.11036,0.66514,10.1197,31.6318,31.5246
0.766145,-3.67271,7.04374,-0.495929,2.11781,0.667269,10.1197,31.6318,31.5246
0.78051,-3.77805,7.06289,-0.483158,2.11781,0.66514,10.1197,31.6318,31.5246
0.737414,-3.77326,6.88094,-0.46613,2.11993,0.660883,10.1197,31.6318,31.5246
0.699107,-3.76368,6.77559,-0.448038,2.12206,0.667269,10.1197,31.6318,31.5246
0.603339,-3.69186,6.83305,-0.428882,2.11993,0.668333,10.1197,31.6318,31.5246
0.593762,-3.7158,6.72292,-0.413983,2.12206,0.664076,10.1197,31.6318,31.5246
0.646434,-3.74453,6.61278,-0.402277,2.12526,0.667269,10.1197,31.6318,31.5246
0.574608,-3.65834,6.58405,-0.384185,2.13271,0.670461,10.1197,31.6318,31.5246
0.483629,-3.70144,6.53617,-0.372478,2.12845,0.671526,10.1197,31.6318,31.5246
0.387861,-3.60567,6.58405,-0.360772,2.13058,0.677911,10.1197,31.6318,31.5246
0.493206,-3.66313,6.61757,-0.35013,2.13271,0.675782,10.1197,31.6318,31.5246
0.469264,-3.56257,6.51223,-0.334166,2.1359,0.670461,10.1197,31.6318,31.5246
0.42138,-3.61524,6.49307,-0.321396,2.1359,0.671526,10.1197,31.6318,31.5246
0.426168,-3.60088,6.49307,-0.312882,2.13377,0.674718,10.1197,31.6318,31.5246
0.387861,-3.53384,6.38773,-0.304368,2.13696,0.678975,10.1197,31.6318,31.5246
0.411803,-3.50032,6.43561,-0.291597,2.13909,0.680039,10.1197,31.6318,31.5246
0.316035,-3.67749,6.4404,-0.277763,2.13909,0.68536,10.1197,31.6318,31.5246
0.344765,-3.50032,6.24408,-0.270313,2.14122,0.686425,10.1197,31.6318,31.5246
0.263362,-3.47638,6.34463,-0.264992,2.14548,0.686425,10.1197,31.6318,31.5246
0.186748,-3.44286,6.25365,-0.255414,2.14548,0.687489,10.1197,31.6318,31.5246
0.191536,-3.54821,6.14831,-0.244772,2.14654,0.691746,10.1197,31.6318,31.5246
0.287304,-3.49075,6.19619,-0.236258,2.14548,0.694938,10.1197,31.6318,31.5246
0.153229,-3.4668,6.0286,-0.230937,2.14228,0.691746,10.1197,31.6318,31.5246
0.253785,-3.24175,5.97593,-0.218166,2.14122,0.69281,10.1197,31.6318,31.5246
0.354342,-2.82037,5.95677,-0.204331,2.14016,0.693874,10.1197,31.6318,31.5246
0.215478,-2.81558,6.27281,-0.187303,2.13803,0.693874,10.1197,31.6318,31.5246
0.110133,-2.5187,6.30154,-0.170276,2.14228,0.690682,10.1197,31.6318,31.5246
0.0814029,-2.53307,6.36858,-0.159634,2.1476,0.693874,10.1197,31.6318,31.5246
0.0047884,-2.67193,6.47392,-0.158569,2.14548,0.693874,10.1197,31.6318,31.5246
0.0622492,-2.86825,6.49786,-0.156441,2.1508,0.686425,10.1197,31.6318,31.5246
-0.0191536,-2.99275,6.42125,-0.144735,2.15186,0.684296,10.1197,31.6318,31.5246
0.205901,-2.75812,6.79953,-0.139413,2.14122,0.687489,10.1197,31.6318,31.5246
0.177171,-3.93607,6.22971,-0.146863,2.13377,0.691746,10.1197,31.6318,31.5246
0.742203,-5.60243,4.84108,-0.15112,2.14335,0.691746,10.1197,31.6318,31.5246
-0.253785,-4.22816,5.39174,-0.131964,2.1508,0.703452,10.1197,31.6318,31.5246
-0.488417,-4.07493,6.9767,-0.108551,2.15718,0.704516,10.1197,31.6318,31.5246
-0.0287304,-3.96001,7.13472,-0.110679,2.14016,0.704516,10.1197,31.6318,31.5246
0.110133,-4.03184,5.19542,-0.112808,2.1476,0.709838,10.1197,31.6318,31.5246
-0.311246,-3.97437,4.82671,-0.0883306,2.16038,0.706645,10.1197,31.6318,31.5246
-0.335188,-3.18429,6.24408,-0.0702388,2.14973,0.697067,10.1197,31.6318,31.5246
-0.430956,-3.37104,7.21612,-0.0766241,2.15399,0.689617,10.1197,31.6318,31.5246
-0.469264,-3.78763,5.88495,-0.0840737,2.1806,0.677911,10.1197,31.6318,31.5246
-0.976834,-3.86903,4.98473,-0.0659819,2.18592,0.68536,10.1197,31.6318,31.5246
-0.933739,-3.32794,5.81312,-0.0297983,2.1625,0.689617,10.1197,31.6318,31.5246
-0.699107,-3.08852,6.49307,-0.0223487,2.14654,0.68536,10.1197,31.6318,31.5246
-0.632069,-3.13162,5.92804,-0.032991,2.15612,0.682168,10.1197,31.6318,31.5246
-0.799663,-3.44286,5.60722,-0.0351194,2.17208,0.67259,10.1197,31.6318,31.5246
-0.952892,-3.70144,5.67426,-0.0223487,2.17847,0.668333,10.1197,31.6318,31.5246
-1.06303,-3.87861,5.79876,-0.0042569,2.17421,0.673654,10.1197,31.6318,31.5246
-0.948104,-3.73974,5.57849,0.0117065,2.16038,0.671526,10.1197,31.6318,31.5246
-0.703895,-3.73974,5.59285,0.0308625,2.14867,0.661947,10.1197,31.6318,31.5246
-0.684742,-3.73974,5.75087,0.0436332,2.14548,0.659819,10.1197,31.6318,31.5246
-0.708684,-3.78763,5.85143,0.0564039,2.15186,0.652369,10.1197,31.6318,31.5246
-0.761356,-3.8834,5.79876,0.0755599,2.15399,0.647048,10.1197,31.6318,31.5246
-0.857124,-3.84988,5.60722,0.0893948,2.1476,0.64492,10.1197,31.6318,31.5246
-0.861913,-3.8403,5.76524,0.104294,2.14016,0.647048,10.1197,31.6318,31.5246
-0.924162,-3.96001,5.88495,0.117065,2.13377,0.643856,10.1197,31.6318,31.5246
-0.981623,-3.89297,5.6982,0.125578,2.13058,0.640663,10.1197,31.6318,31.5246
-0.943315,-3.85945,5.79876,0.139413,2.12951,0.640663,10.1197,31.6318,31.5246
-1.03908,-3.93128,5.67905,0.154313,2.12419,0.642791,10.1197,31.6318,31.5246
-1.11091,-3.8834,5.61201,0.168147,2.11674,0.638535,10.1197,31.6318,31.5246
-1.10612,-3.93607,5.55934,0.179854,2.1061,0.634278,10.1197,31.6318,31.5246
-1.23541,-4.12282,5.51624,0.200074,2.09759,0.631085,10.1197,31.6318,31.5246
-1.10133,-4.11324,5.4923,0.221359,2.09546,0.633213,10.1197,31.6318,31.5246
-1.13485,-3.95522,5.42526,0.229872,2.09226,0.631085,10.1197,31.6318,31.5246
-1.23541,-3.93128,5.39653,0.243707,2.08694,0.623635,10.1197,31.6318,31.5246
-1.21625,-3.84988,5.46357,0.256478,2.08269,0.627892,10.1197,31.6318,31.5246
-1.1971,-3.75411,5.35822,0.270313,2.0763,0.625764,10.1197,31.6318,31.5246
-1.2402,-3.79242,5.4109,0.284148,2.06885,0.619379,10.1197,31.6318,31.5246
-1.2402,-3.86903,5.34865,0.291597,2.06566,0.614057,10.1197,31.6318,31.5246
-1.2785,-3.89297,5.34865,0.301175,2.06353,0.612993,10.1197,31.6318,31.5246
