ax,ay,az,gx,gy,gz,mx,my,mx
-0.11971,0.363919,9.48104,0.0117065,0.0138349,0.0138349,7.10156,27.5215,39.2766
-0.129287,0.363919,9.50019,0.00851379,0.0138349,0.00851379,7.10156,27.5215,39.2766
-0.143652,0.392649,9.48104,0.00532112,0.0127707,0.00851379,7.10156,27.5215,39.2766
-0.0526724,0.42138,9.42837,0.00744957,0.0127707,0.0117065,7.10156,27.5215,39.2766
-0.129287,0.445322,9.50019,0.00957802,0.0159634,0.00957802,7.10156,27.5215,39.2766
-0.153229,0.339977,9.52413,0.00319267,0.0170276,0.0106422,7.10156,27.5215,39.2766
-0.0191536,0.416591,9.45231,0.0042569,0.0148991,0.0138349,7.10156,27.5215,39.2766
-0.0861913,0.363919,9.44273,0.00532112,0.0148991,0.00744957,7.10156,27.5215,39.2766
-0.105345,0.387861,9.414,0.00851379,0.0117065,0.00532112,7.10156,27.5215,39.2766
-0.148441,0.320823,9.61511,0.00851379,0.0138349,0.00638535,7.10156,27.5215,39.2766
-0.134075,0.407014,9.54808,0.00212845,0.0138349,0.00744957,7.10156,27.5215,39.2766
-0.124498,0.397437,9.50977,0.0042569,0.0159634,0.00957802,7.10156,27.5215,39.2766
-0.0861913,0.373495,9.34217,0.00319267,0.0117065,0.0106422,7.10156,27.5215,39.2766
-0.105345,0.335188,9.50498,0.00532112,0.00957802,0.00851379,7.10156,27.5215,39.2766
-0.0814029,0.426168,9.52892,0.00744957,0.0148991,0.00957802,7.10156,27.5215,39.2766
-0.0814029,0.45011,9.46188,0.00957802,0.0138349,0.00851379,7.10156,27.5215,39.2766
-0.0909797,0.3304,9.46667,0.00957802,0.0148991,0.00851379,7.10156,27.5215,39.2766
-0.105345,0.47884,9.61033,0.00744957,0.0138349,0.00957802,7.10156,27.5215,39.2766
-0.0861913,0.354342,9.50019,0.00744957,0.0148991,0.0127707,7.10156,27.5215,39.2766
-0.105345,0.430956,9.5385,0.00319267,0.0138349,0.00744957,7.10156,27.5215,39.2766
-0.0383072,0.416591,9.38527,0.00744957,0.0127707,0.00851379,8.52188,26.0918,38.932
-0.105345,0.392649,9.52413,0.00638535,0.00957802,0.00851379,8.52188,26.0918,38.932
-0.167594,0.402226,9.64384,0.00851379,0.0138349,0.00744957,8.52188,26.0918,38.932
-0.0814029,0.435745,9.63906,0.00532112,0.0138349,0.00744957,8.52188,26.0918,38.932
-0.0670376,0.402226,9.51456,0.00744957,0.0148991,0.00744957,8.52188,26.0918,38.932
-0.105345,0.483629,9.60075,0.00638535,0.0138349,0.00957802,8.52188,26.0918,38.932
-0.023942,0.474052,9.52413,0.00957802,0.0148991,0.00957802,8.52188,26.0918,38.932
-0.0287304,0.383072,9.57202,0.00957802,0.0138349,0.00638535,8.52188,26.0918,38.932
-0.148441,0.416591,9.48583,0.00744957,0.0127707,0.00638535,8.52188,26.0918,38.932
-0.129287,0.402226,9.53371,0.00957802,0.0117065,0.00532112,8.52188,26.0918,38.932
